kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,brainpoolP512r1,512,ADDMOD,25000,0.001163093,21494413.592,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,brainpoolP512r1,512,ADDMOD,25000,0.000202809,123268694.392,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,brainpoolP512r1,512,ADDMOD,25000,0.001024751,24396177.952,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,brainpoolP512r1,512,ADDMOD,50000,0.000030013,1665955787.253,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,brainpoolP512r1,512,ADDMOD,50000,0.001824287,27407964.668,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,brainpoolP512r1,512,SUBTRACTMOD,25000,0.001108311,22556852.609,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,brainpoolP512r1,512,SUBTRACTMOD,25000,0.000191288,130692727.323,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,brainpoolP512r1,512,SUBTRACTMOD,25000,0.001628120,15355136.794,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,brainpoolP512r1,512,SUBTRACTMOD,50000,0.000030499,1639400610.724,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,brainpoolP512r1,512,SUBTRACTMOD,50000,0.001828256,27348466.666,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,brainpoolP512r1,512,MULTIPLYOPERANDSCANNING,25000,0.001155811,21629830.074,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,brainpoolP512r1,512,MULTIPLYOPERANDSCANNING,25000,0.000202099,123701549.982,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,brainpoolP512r1,512,MULTIPLYOPERANDSCANNING,25000,0.000211897,117981679.215,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,brainpoolP512r1,512,MULTIPLYOPERANDSCANNING,50000,0.000146442,341431886.086,0
